category	confidence	name_sim	first_match	coauth_jaccard	ref_jaccard	shared_papers	papers_a	papers_b	total_papers	in_500	name_a	name_b	decision
REVIEW	0.487	0.727	0.7	0.000	0.100	0	1	1	2	1	Sung‐Yon Kim	Sujeong Kim	
REVIEW	0.487	0.593	0.7	0.143	0.086	0	1	1	2	0	Jeremy Fisher	John D. Fisher	
REVIEW	0.487	0.667	0.7	0.000	0.200	0	1	1	2	0	Yongfu Wang	Yuhan Wang	
REVIEW	0.486	0.786	0.7	0.000	0.000	0	1	1	2	1	Earl K. Miller	Eric L. Miller	
REVIEW	0.486	0.786	0.7	0.000	0.000	0	1	1	2	1	Xian-Guang Wang	Xianning Wang	
REVIEW	0.486	0.700	0.7	0.000	0.139	0	1	1	2	0	Joha Park	Juhyuk Park	
REVIEW	0.486	0.783	0.7	0.000	0.000	0	1	1	2	0	He-liang Yin	HaiFang Yin	
REVIEW	0.486	0.783	0.7	0.000	0.000	0	1	1	2	0	Chun‐Ying Liu	Chuntai Liu	
REVIEW	0.486	0.783	0.7	0.000	0.000	0	1	1	2	0	Xianning Wang	Xindi Wang	
REVIEW	0.486	0.783	0.7	0.000	0.000	0	1	1	2	0	Long Wang	Lihong V. Wang	
REVIEW	0.486	0.783	0.7	0.000	0.000	0	1	1	2	0	Zhongwei Chen	Zhang Chen	
REVIEW	0.486	0.783	0.7	0.000	0.000	0	2	1	3	1	Peng Zhou	Pengcheng Zhou	
REVIEW	0.486	0.783	0.7	0.000	0.000	0	1	1	2	1	Yifeng Zhang	Yuxin Zhang	
REVIEW	0.486	0.783	0.7	0.000	0.000	0	1	1	2	1	Qinghua Zhang	Qiyu Zhang	
REVIEW	0.486	0.783	0.7	0.000	0.000	0	1	1	2	0	Zhimin Huang	Ziwei Huang	
REVIEW	0.486	0.783	0.7	0.000	0.000	0	1	1	2	0	Wen-Qing Huang	Wei Huang	
REVIEW	0.485	0.778	0.7	0.000	0.007	0	3	1	4	0	Jinhui Wang	Ji Wang	
REVIEW	0.485	0.750	0.7	0.000	0.048	0	1	1	2	1	Michael Newman	MEJ Newman	
